category,sub_category,question,answer
faq_general,,How long does a screen repair take?,"Most screen repairs are completed the same day, often while you wait, depending on part availability. [PLACEHOLDER: confirm typical turnaround, e.g. 30-60 mins for common phone/laptop models]."
faq_general,,Do I need to book an appointment?,"You're welcome to walk in during opening hours, but booking ahead helps us make sure the part you need is in stock. [PLACEHOLDER: confirm if online booking exists]."
faq_general,,How much does a repair cost?,"Pricing depends on the device, model, and fault. Send us your device model and issue and we'll give you a quote. [PLACEHOLDER: add a price list or price-range table]."
faq_general,,Can you fix devices other than phones and laptops?,"Yes — we also repair tablets, desktop PCs, and Mac computers, plus offer data recovery and virus removal."
faq_general,,Do you offer a while-you-wait service?,"Yes, E-Tech offers a while-you-wait service for many common repairs, subject to parts being in stock."
warranty_policy,,How long is the repair warranty?,[PLACEHOLDER: e.g. 'All repairs come with a 3-month warranty covering the part and workmanship.'] Please confirm exact warranty length with our team.
warranty_policy,,What does the warranty cover?,"[PLACEHOLDER] Typically a repair warranty covers the specific part replaced and the workmanship of the repair — it does not usually cover new/unrelated damage, liquid damage after the repair, or accidental drops."
warranty_policy,,What voids the warranty?,"[PLACEHOLDER] Common exclusions: opening the device elsewhere after repair, further physical/liquid damage, or software issues unrelated to the original repair."
warranty_policy,,Do I need a receipt to claim warranty?,"Yes, please keep your repair receipt/invoice as proof of the repair date and work carried out."
repair_policy,,What's covered in a screen repair?,"A screen repair covers replacement of the damaged screen/digitiser. It does not automatically cover other faults found during diagnosis (e.g. battery, charging port) unless agreed separately."
repair_policy,,What's not covered by your repairs?,"Pre-existing issues unrelated to the reported fault, further accidental damage after collection, and cosmetic wear are generally not covered. [PLACEHOLDER: confirm exact exclusions]."
repair_policy,,Will you tell me if you find another problem while repairing?,"Yes — if we find an additional fault during diagnosis or repair, we'll contact you before carrying out any extra work or charging extra."
supported_devices,,What brands of phones do you repair?,"We repair a wide range of smartphones including iPhone and Samsung, plus most Android brands. [PLACEHOLDER: confirm full brand list]."
supported_devices,,Do you repair laptops?,"Yes, we repair laptops from all major brands, including Apple MacBooks, Dell, HP, Lenovo, Asus, and Acer/Gateway."
supported_devices,,Do you repair tablets?,"Yes, tablet repairs are one of our listed services."
supported_devices,,Do you repair Apple/Mac products?,"Yes — we offer MacBook and Mac repairs, screen replacement, and data recovery."
repair_types,,Do you fix cracked screens?,"Yes, screen and glass repairs/replacements are one of our core services for phones, laptops, and tablets."
repair_types,,Do you replace batteries?,"Yes, battery replacement is available for phones and laptops. [PLACEHOLDER: confirm which models are supported]."
repair_types,,Can you fix a broken charging port?,"Yes, we repair charging/power jack ports on both phones and laptops."
